,author,text,date,stars
11,A.v. N.,"Oooh, found ourselves a new go-to spot in the City! We go to Chinatown semi-regularly but don't often venture along Columbus Ave. I wanted to see the National Shrine of St. Francis of Assisi and explore some Italian places along the way. It's right across the street from the Shrine.

I was in a carbonara mood, the wife was in a seafood mood, and the Boy was in an indecisive mood. The waiter Gian Carlo was so friendly and engaging with our Boy, gave him a choice of a couple pastas, a choice of sauce, meat or no meat, and what to drink. Excellent service.

My carbonara was delicious, and I shared some with my Boy who wished I had saved him more. He should've listened to me the first time when I told him to get the carbonara. Kids, listen to your parents. Unless they're vegan. In which case, insist on the carbonara. Trust me.

The wife's seafood pasta was also excellent. She let me try some/finish it off. I would have tried dessert too if I hadn't finished off their plates because I didn't feel like carrying around a to-go bag. I cleaned up all the sauces with the bread too because, hello, Italian restaurant. It would be rude if I didn't.

We'll definitely be back and will make a point to leave room for dessert.

Also, if you can, sit by the window because it's brighter; inside was a bit dim. Outside looked nice too, and you're in the shade by the late lunch hour.
",2019-08-01,5.0
12,Emily A.,"Cute little restaurant on the corner of Columbus St. 
The servers and owners are OG Italians.. great service.
We decided to opt in for some pizzas. We got the Mona Lisa and the Piemonte. Both delicious and fresh. Highly recommend the Piemonte if you like truffle. The red wine (Cabernet) was imported from Italy, also delicious. I would definitely come back and I highly recommend if you're craving some good ole fashion carbs!
",2019-05-10,5.0
13,Susanne R.,"As Nat King Cole sang, ""Mona Lisa, Mona Lisa, men have loved you..."" and I love you too!!

We'd made early reservations here after a matinee show.   Walked in and were warmly greeted.   They were not busy so we could pick where we wanted to sit.  I choose the back half of the house as it was darker and my friend was fighting a migraine.    

After being seated with menus, water and bread soon followed.    It took us awhile to make food decisions as the menu is very extensive.  We decided on appetizers and  drinks , then ordered our mains.   The waiter Antonio was fantastic.   Showed up when we needed and checked back at appropriate times.

Appetizers 
Burrata Fresca-  perfect combination of fresh burrata with prosciutto, arugula and Parmesan 
Aglio Siciliano Caramellato- sautéed garlic cloves in wine and Parmesan..  DELICIOUS 

Mains- 3/4 were fantastic, the last dish was just ok.
Spaghetti alle Vongole 
Spaghetti allo Scoglio
Chicken Parmesan 
Salmone con Gamberoni alla Crema

Desserts -  these were amazing!!  Fresh, lovely flavor combinations.  The parfait is a must...
Panna cotta
Lemon sorbet 
Cream de limoncello parfait 

Service was efficient and friendly.  Everything was wonderful.  We throughly enjoyed our time and will be back.
",2019-05-09,5.0
14,Lindsay P.,"If you ever find yourself in the area this is a MUST!!!! We stumbled upon this gem! We walked up and right away I noticed the one of a kind car out front and wanted to sit there. They said sure give us 10 minutes! Sure enough before we knew it we were given the best seat in the house! The service and food were phenomenal! I'm a sucker for Italian food and this was probably one of the best! The owner treated us like family and was the kindest man! We will definitely be back!
",2019-09-13,5.0
15,David N.,"DELICIOUS! The Mona Lisa has an amazing menu, all done very well and very authentic! I have been here a hand full of times and every time is a treat. I really can't pick a favorite dish but you have to try the antipasto tower. The wait staff is extremely accommodating and the host makes you feel like your the most important person in the world. Highly recommend the Mona Lisa if your looking for an all arround great experience. Amazing food, wine, and italian hospitality. Perfect for a romantic date but with a more relaxed atmosphere.

**Edit
Ok I had to come back here and edit this because I think I found my new favorite dish bistecca Al porcini, I normally go for the more traditional dishes but I was craving a steak.. and WOW! cooked perfectly, flavors were out of this world!
",2019-07-26,5.0
16,Brian P.,"Schmaltzy atmosphere, fun. Good service. Food ok, but not special. There are better choices in the area. Trattorria Contadina for onen
",2019-10-01,3.0
17,Craig T.,"Really cool, relaxed, old school Italian place. Went here with a group of friends who were in from out of town and had a great time. 

The food was all solid and I really like the atmosphere here...perfect place to enjoy a long, relaxed meal over a couple bottles of wine. 

We split the bruschetta and prosciutto-wrapped cantaloupe. Both were good. For mains, we split multiple of the pasta dishes. I enjoyed them all but the tortellini was probably my favorite. Would recommend!
",2019-05-12,4.0
18,Chaheti B.,"Transported into Italy!! Don't let the super touristy location of the restaurant deter you from coming in, the food is authentic and the menu is extensive. It is a bit tight and we were seated in a corner by the window on a table too small for our food and wine, but we still loved the atmosphere. 

Make sure you make reservations because it's usually packed with a line of people waiting outside!

My boyfriend is gluten free and it's usually rare for an Italian restaurant to have homemade GF pasta, let alone GF RAVIOLI. You couldn't even tell the difference. The sauce was extremely garlic-y but we loved it. 

The lobster ravioli was delicious and creamy as well.

We also ordered a plate of the chicken cioppino with risotto but we had 2 bites of it because our ravioli dishes were a lot larger than what we were expecting. The risotto had lots of veggies, however the only flavor that was coming across the dish was salt and the super salty olives. We ended up packing it up and giving it to a homeless person because we didn't enjoy it enough to even have at home. 

Oh and their bread is incredible, crunchy, and warm!
",2019-08-18,4.0
19,Jazzy L.,"This is the best place to have authentic italian food
come here all the time with my husband for a getaway.
owner Mauricio is super nice and will mke you feel like your VIP. My favorite is the fetucini leonrdo but every thing I tried here has been great.
",2019-07-26,5.0
20,Neloffer E.,"My husband and I were craving Italian after so long and saw the great reviews here on Yelp. We then finally decided to give this place a try for date night and glad that we did. It's such a cute and romantic place to have dinner! 

The service is great here! All the employees here are very friendly and truly make you feel welcomed! 

The food was delicious!!!  The menu had so many options that it took me a while to decide what I wanted. I couldn't decide if I wanted pasta, lasagna, pizza, or the other delicious items they had on the menu. I ended up ordering a cheesy pasty and my god was it cheese heaven. I added a bit pepper to give it a kick and it hit the spot! My husband ordered the margarita cheese pizza and he loved it. I had a slice of his pizza and I was tempted to order another one. The crust, the sauce, the cheese, the basil, the roasted tomatoes on top was exquisite. 


My husband had traveled to Italy not too long ago and he mentioned that the penza(pizza) has the same authentic taste as it does in Italy! 

I highly recommend this cute and cozy restaurant.
",2019-04-15,5.0
21,Cristian S.,"I was here last weekend, having dinner with some friends. Great Italian food and service. Location is quite exquisite. Feels like you're in Italy. I do recommend it for a nice Italian dish, I've had lasagna. The owner is there all the time, really nice and funny guy. Good prices!!!
",2019-09-18,5.0
22,Lynne P.,"Some of the best Penne Arrabiata and pizza in North Beach!  Very cozy romantic place with great people watching.  Perfect location.  Order delivery from here frequently and it is always delicious.  Highly recommend.
Thank you for listening to my first review!  Have ordered a few times since and everything was perfect!
",2019-09-20,5.0
23,Mario A.,"My girl friend and I thought everything was fabulous the food was absolutely delicious the servers was very courteous ambience was very cool Beautiful place
",2019-10-01,4.0
24,Jcee l.,"Very good food. I ordered the pumpkin ravioli and my friend salmon with asparagus in a white wine sauce. The atmosphere felt Italian and my friend and I liked the strobe lights. The service was quick and the waiter was nice giving us suggestions. I would recommend this place.
",2019-07-13,5.0
25,Clarissa C.,"Yum! Great Italian food in North Beach!

Mona Lisa is one of the many restaurants in North Beach I just found out you can count on for good Italian food. From the tourists coming in just from foot traffic, as well as regulars, I would say it's definitely wise to make a reservation ahead of time. 

The atmosphere is lively and bustling, with waiters and tons of people trying to squeeze and get by with food. Fun paintings/photos and marble busts in police officer hats also line the restaurant walls, giving you something to look at as you wait for your table or dinner. 

One of the highlights if you want to try all the appetizers and turn heads is their grand Family Style Antipasti ($31.95). It's a crazy, multi-tiered vessel that barely fits on the table and is awesome if you like calamari and proscuitto! They say it feeds two, but honestly could feed 4 (especially with their large pasta entrees).

I got the Rigatoni all Borrelli ($25.95) and it was definitely delicious. It came on a hot dish with plenty of tomato sauce, melted cheese, eggplant, and rich/slightly spicy sausage mixed throughout. The Garlic Bread we ordered on the side was also great--super garlicky and toasty! With all that food, you better believe I had a hearty full meal of takeout for the next day. 

Overall, I thought all the food here was super spot-on. The Italian manager and owner is super funny (and hunting for some good Yelp Reviews lol), and the service was pretty great given how packed it was for a Friday night. I would say the prices are definitely on the more expensive side for Italian food here, but I guess it comes with the location in SF. Would definitely come back if I was going for a nice Italian dinner and trying to wow some SF visitors!
",2019-07-01,4.0
26,Marc B.,"I took friends from Australia to dinner expecting a fine meal based on reviews.  We were extremely disappointed.  It took an hour to serve us unacceptable meals.  The tiny portion of veal was smothered with sauce to hide the lack of veal.  Both the server and manager were rude throughout the meal.  Over priced and poor food quality.  Go elsewhere
",2019-09-26,1.0
27,Kathy T.,"Buena sera, ragazzi! This place could easily be in Sicily---homeland of the hospitable owner. Had a very reasonably priced Chianti ( when in Rome) and chose the fettuccine Mona  Lisa (had to) which had a creamy white sauce with olives and ham. Delicioso . Service was perfect  and the desserts, no words. In SF? Love Italian? It's a no brainer . Got to go. Andiamo!
",2019-07-17,5.0
28,Ashley W.,"Last time I visited the place I couldn't get enough of that pasta, just because of the pasta we did the reservation again and visited the place. I wasn't impressed this time, the pasta was bland, lacked flavor and taste, it was not very tempting. Moreover the Scolio spaghetti wasn't of the quality as I would have expected. The service and staff was good though, place is good not sure why the quality isn't constant.
",2019-09-20,3.0
29,Jennifer O.,"Other than Sam's Grill, there's no other restaurant in San Francisco that can greet you as an old friend and immediately make you feel welcome and at ease. 

Mona Lisa is special, they just try harder and everything is made with love. I wanted a dish they no longer had on the menu (been gone too long) and they made it up for me, off menu, including a generous shaving of truffles and truffle oil.

The menu is enormous but nicely broken down by pastas with meat, fish, vegetarian making it easier to narrow your choices. 

The fried calamari appetizer was solid and they crafted a deluxe plate of bruschetta with mortadella, caprese salad and kalamata olives for our table all because (I suspect) I told a man perusing the menu outside, ""Go! I'm a local and I love this place!""

My child's carbonara was sinful and delicious with a generous amount of pancetta; my friend's son devoured his pasta arrabiata, fragrant with basil, and I enjoyed my specially prepared dish.

Sure, I could nitpick that the tomatoes on the Caprese could've been juicier and I would've liked a bread plate and freshly ground pepper but as I wended my way through the cozy dining room with its busy and eclectic decor, I said thank you and goodnight to the owner, a man I felt I'd known forever. 

It was as if we just had a wonderful meal at a friend's home.

It's more than good food that fills your soul and having dinner at Mona Lisa was a comforting and joyful experience. 

Tutti a tavola a mangiare!
",2019-02-22,5.0
30,Adam T.,"Mediocre pizza, for the area and traditional appearance I expected better.
I am supposed to write more to make this a legit review.
",2019-09-01,3.0
31,Jing F.,"First time here.  We chose this place on a Superbowl Sunday lunch because it seems like a lot of North Beach restaurants were closed that day.  We are here to celebrate my sisters and my cousin's bdays. 

The place is pretty cool.  Sculptures, sculptures with hats (SFPD hats, etc) on, and Italian art.  This place is great for big groups too.

We ordered different Italian dishes.  But first we had this all kinds of appetizers (calamari, bruschetta, etc) on a tiered platter.  The appetizer is delicious.  The individual meals we ordered all looks good and delicious.  I especially like the chicken that my cousin ordered.  I ordered pasta with pesto sauce (the veggie menu) I figured we got the appetizers with meat and seafood already so I want to  be healthy LOL.
Like I said they are all delicious.   The service did not disappoint too!!  The staff were all pleasant and made us feel welcome!  We were there for at least 2 hours and they didn't mind.  They sang happy birthday and their cake was awesome!
",2019-02-06,5.0
32,Lulu Y.,"It's a cozy Italian restaurant on Columbus Vallejo. The interior looked Byzantine and I have had dessert and wine here. I would not call it super fancy dining but the food was of fairly good quality. The store owner has a vintage car in front of the store, looking cute
",2019-07-04,5.0
33,Roma M.,"Found this place on yelp. Its the italian district of SF. We could secure a reservation on Friday evening over the phone. They mentioned that its run and operated by Women only, but the menu card stated that a couple owns it, so it was little confusing. Anyway, the food options were good and the decor was unique and enjoyable. We ordered a bottle of wine, a pasta and a pizza, all were pretty good, above average.
",2019-08-19,4.0
34,Hongruo Y.,"Just want to leave an honest review about their food. We came here because of the yelp rating and left the restaurant with disappointment. The seafood Cioppino tastes bland and the fish/shellfish was not fresh even for frozen food standard. On the contrary, the price they charges on this dish was actually a little bit higher than the other good restaurants in the same neighborhood. 

I can't understand how this place got such a high rating? Nothing personal about this place but the food was over truly overrated and I will never recommend friends to here for the sake of my own foodie reputation 

(I started to read reviews when exploring new places since my visit here, felt you can no longer trust the yelp rating stuff anymore...)
",2019-08-08,2.0
35,Mike R.,"Beautiful decor - Very clean!

Friendly staff and food and wine menu looks amazing!

Prices were reasonable.  Food was amazing, as was the wine.

Enjoyable visit!
",2019-08-13,5.0
36,Chinsin S.,"This place was amazing. The decor is super cute with all the photos. It's a tad bit small, so definitely be prepared to get comfy. 

We made a reservation, but unfortunately due to technical issues, there was a tad bit of confusion and we were delayed a few minutes.

And guess what? The owner (or manager) on duty was super chill and down to Earth about this entire hiccup. Since this was a surprise birthday, we were on a clock and he somehow made magic happened. I was literally impressed.

I ordered the Spaghetti Allo Scoglio, which had huge portions of calamari, clams, mussels and prawns. It was solid. I wish the sauce was a tad bit thicker, but overall, the dish was a delight. You could really taste the authentic seafood (or ocean flavor) with each bite. The noodles were perfectly cooked at al dente. 

We also ordered the Mona Lisa pizza and the calamari appetizers too, which were delicious as well.

Was it the best Italian food I have ever had? No. But what really separates Mona Lisa from every other restaurant is their unique and five-star dining experience. The staff and restaurant management team really went up and beyond to make our group of 11+ guests feel special.

Mona Lisa, I'm a total fan and would come here again in a heartbeat.
",2019-05-19,5.0
37,Beth L.,"We were transported to Italy last night, and it was sublime! Service was impeccable! Everyone was friendly and warm. Food was delicious. We ordered carpaccio and seafood risotto. Both were perfection. The only teeny problem was that the risotto portion was humongous. Well, not really a problem because I took it home and ate it for breakfast. It was THAT GOOD! We will be back any time we want an authentic Italian experience with excellent food.
",2019-08-08,5.0
38,Lauren S.,"After a long day of roaming the streets of Dan Francisco with our dog, we decided to find a dog friendly place to sit down and fill our belly.  We stopped at this place because it was the first place with outdoor seating.  We were not disappointed.

We ordered a veal with capers to share, kids pepperoni pizza, and spaghetti meatballs for kids.

Veal was delicious and not over powered by the capers.  It was lightly salted and not greasy. We cleared our plates.  My younger son loved the pizza and said it was cheesy and.plenty of pepperoni to pick at.  He said he could eat at this place again.  My older boy enjoyed his spaghetti and meatballs and thought it was meaty with a sweet balance of the sauce.

Wine by the glass was reasonable and good pour. 

Lastly,  service was excellent and couldn't ask for more attentive service,  especially since we were far removed from the hustle and bustle of the core restaurant seatings inside.  My husband said we should get discount for advertising outside with the yummy food to passerbys.

I totally recommend this place and return again. Thumbs up!

P.S. my little puppy dog was happy to receive a break from the long day of walking.  Great finish to a nice.day put.
",2018-12-30,5.0
39,Anthony G.,"Once again Mona Lisa proves FANTASTIC...no visit to SFO is complete without a visit here, this time I bring a party of 7.  It's always nice when your dining partners praise your choice, tonight, I created 6 new fans who are all ready to return tomorrow.  You cannot make a bad menu choice here, everything is delicious. Until I return.  Bon apetito
",2019-09-22,5.0
40,Gabi M.,"We can't stop thinking about the Penne Salsa Rosa so this is our third time here. Amazing service and such a great experience every time. We ate in the car and it was one for the books!
",2019-09-07,5.0
41,Elda M.,"I loved Mona Lisa during my short stay in San Francisco! 

After trying another Italian restaurant nearby that wouldn't seat me at a table (I was traveling solo, and they wanted me to sit at the bar, instead of take up an entire small table meant for two or more. Their right, but I didn't want a bar experience.) I decided to stop in Mona Lisa after having walked by more than a few times over the weekend. 

Monday night and it wasn't too crowded. The staff were super friendly and very professional. 

I started with the excellent bruschetta and a glass of Chianti Classico (also excellent). For an entree, I had the veal ravioli and it was it amazingly good! I love ravioli, it's one of my favorite foods, and Mona Lisa's version was one of the best I've had in a restaurant in the US.

I loved the entire experience! I can't wait to return next time I'm in San Francisco!

Elda Eats XO
",2018-12-18,5.0
42,Pratiksha S.,"The Penne with pink sauce was good. The pasta was nice and saucy 

Spaghetti with pesto was okay, with a decent amount of pesto in it 

The dessert menu looked good, but we were so full from the main course, we couldn't try any :( 

Definitely going back to try some of those
",2019-08-23,4.0
43,Megan M.,"A little bit of a wait but we were a party of 7! This is a cozy (think chair to chair) space but that gives it a family feel. Decor was busy and very Italian but the linen table cloths were nice.  Most seating offers a fun view of the chefs at work. They offer many in house made pasta options & my gnocchi was tasty (though overpriced, but I think that's just San Fran). Our server was quite friendly and even brought my sister's baby a dessert, on the house. If you're looking for authentic Italian, I recommend.
",2019-07-29,4.0
44,Sophie G.,"Ordered the pesto penne with chicken.   Pesto was fresh and a little salty, but nonetheless it was still really good.  I regretted adding Parmesan cheese because that made it saltier.   Service was good.  I would recommend sitting near the window to get a view of the street otherwise the place is dark and a little crowded.
",2019-09-22,4.0
45,NoName X.,"Man I don't know if any of these reviewers have had decent Italian food before or not. Went in after reading the rave reviews and what a disappointment. 

Pizza - bland. No flavor
Spinach and cheese ravioli - tangy tomato sauce. Odd taste. 
Pasta with pink sauce for kids - a bad version of penne a la vodka 
Fettuccini with Alfredo sauce for kids - a heavy butter after taste. And not in a good way. 

Over priced and a disappointment. Was in the neighborhood visiting so dropped in. Won't make that mistake again.
",2019-08-20,1.0
46,Ranelle S.,"Ever go out to eat and end up dining out of an antique car?  Of course not because you aren't me.  But you can work your way up to it by coming to this place.  Great food, amazing dessert, sociable staff and the best seat not in the house if you're lucky.
",2019-08-30,5.0
47,Esther H.,"Came in on a busy Friday night without any reservations. Got a nice table outside since it was a beautiful and rare, warm, S.F. night. Their pasta tasted very fresh and their service was very attentive. Had a pleasant night and enjoyed the creamy fettuccine pescatore.
",2019-09-15,4.0
48,Tinyee H.,"If you want traditional Italian-American food, look no further. The leather-bound menu had many choices. We ordered the calamari fritti, buffalo fresca on greens, spaghetti with meatballs and rigatoni osillio. The fried calamari was a bit under seasoned, i.e. not enough salt. The buffalo mozzarella was creamy and soft, and went well with the prosciutto and arugula. The kids likes the meatball. The rigatoni osillio had a fresh-tasting basil pesto with grilled chicken. This was my favorite out of all dishes, and also one of the best I've had. It was not too oily from the pesto and the chicken was perfectly cooked and moist.

Our waiter, Luca, was charming and pleasant. The restaurant still had holiday decorations and was a bit tacky. I don't get the air force theme with captains hats on busts. Clearly the restaurant has been visited by famous people as portraits line up all around the dining area.
",2019-01-04,4.0
49,Mary K.,"After a longest day of work, I was in a needed for a comfort food, more specifically an Italian food and I searched for a restaurant that is open this late. Most restaurants in SF tend to close after 9pm and would shoo new patrons away upon their closing hours.
Behold, it is Mona Lisa's restaurant that I found, which happens to be the perfect Italian spot in SF that does stay open until 11pm. 
It is cozy and their interior designs are beautiful too. It
I had truly enjoyed observing & checking out these ancient pictures on their wall.

Their extensive menu offers so many & ""looks delicious"" food options and it took me a good while to decide on which one to try. I finally settle for Burrata Fresca: Fresh italian farm burrata mozzarella with prosciutto crudo di parma, arugula, and shaved parmigiano, it's an appetizer by the way! 
and main course- Lasagna: Homemade lasagna with fresh mozzarella in a ground pork, beef, and tomato meat sauce. 

All were very tasti-licious along with the fresh breads! 

The owner and the waiter were excellent with their services toward me. Had a great conversation with the owner, he is a warm-heart man & he will also fill you in on his family's heritage background. 
Mona Lisa feels like a home to me. Great place to eat at and I will come back again.

Thank you!
Jennie H.
",2019-07-26,5.0
50,G M.,"We were wandering around North Beach for Memorial Day today and decided to try Mona Lisa because the Yelp reviews were strong.  It certainly had the risk of being a tourist trap being on Columbus so close to Broadway, but I don't want to be one of those San Franciscans who's lived here forever but still hasn't done what many tourists have.

I had the Pinsa, Napoli style.  It's an oval-shaped pizza with special blend of all non-GMO soy, wheat, and rice flour.  I thought the crust was the best I've had in SF.  Nice and crispy, but still light.  It's not like true Neapolitan pizza, which is wet and has to be eaten with knife and fork, but these days I like the way Mona Lisa does it better.

This is not a cheap place (with many entrees in the $30+), but the portions are huge, so it's not so bad if you end up taking a bunch home like we did.  

Glad we dropped by.
",2019-05-27,4.0
51,Karen L.,"We love, love, love Mona Lisa and it's now one of our favorite North Beach Italian eateries! We had dinner here tonight and everything was amazing! Bread is chewy and fresh but we left room for dinner! We had the four cheese pizza which is hands down one of the best pizzas I've  ever had! The flavor of the cheeses are outstanding and you can taste each one! Crust is crisp and light. We also had the Chicken Milanese with garlicky spinach. Chicken was perfectly cooked and very good. We had the linguini and clams which was flavorful and plentiful. The Caico e Pepe pasta was also outstanding. Service was friendly and very efficient. We can't wait to go back! Don't miss this!
",2019-07-15,5.0
52,Rick H.,"Amazing food! Been going to Mona Lisa's for fifteen years. Not only amazing Food! Amazing service! It is an SF landmark! Mauricio is an amazing host too! Fresh pasta and sauce makes this place a one of a kind experience! Great deserts, wine and pizza too!
",2019-08-25,5.0
53,Kristin H.,"The food was delicious! 10 entrees, 4 appetizers, and 3 desserts came out to $525 + tip 

Service could be better faster even though I had a reservation for 10.
",2019-04-19,4.0
54,Heather D.,"One of the best chicken Alfredo I've had in a long time! Cute little restaurant with great food
",2019-09-24,5.0
55,Candice Y.,"Looking for a place in North Beach and found Mona Lisa on Yelp. Carbonara was great! Worth a look if you're in NB.
",2019-09-20,4.0
56,Tiffany A.,"This restaurant is soooooo good! I had Paccheri Calabresi (pasta meat dish) on a new menu and my husband had linguini with Alfredo and salmon. The service was spectacular, authentic Food, and great customer service. Food was quick to get. Highly recommend!
",2019-08-19,5.0
57,Martha F.,"The food was excellent and the waiter was super nice! I had the eggplant with potatoes and spinach. It also had a very great atmosphere.
",2019-09-19,5.0
58,Gail B.,"We had reservations but arrived a little early.  We were greeted immediately and we were able to choose our table near the window.   The food and service were superb. Our waiter was Antonio and we asked for recommendations on wine and food and were not disappointed.  Our portions were more than sufficient for the salad, homemade pasta and sauces chosen.  Highly recommended.
",2019-10-02,5.0
59,Hannah P.,"This place is awesome! We got to dine in the car. The food is great and the service is efficient.
",2019-08-15,5.0
60,Kristin H.,"Great food, Great service, Great ambiance!! We were craving Italian on our special birthday trip to SF & found this incredible establishment.  I wanted clams & linguini & didn't see it on the menu outside, but the owner beckoned us in & had it made especially for me!!! My hubby had the home made beef ravioli.  Both were exceptional.  My dinner had more juicy, tender clams than I've ever had. They have an extensive wine list, too.  I enjoyed the house chianti, very flavorful.  And to our surprise, they brought a complementary crème brule with a candle for my hubby's 70th birthday!  I cannot believe we had never found this exceptional restaurant before as it has been around for decades. Can't wait for our next trip to The City so we may enjoy another fabulous meal.
",2019-08-24,5.0
61,Malek B.,"Great italian experience.  Food is excellent and the service makes you feel like in italy.
Been served by the owner Maurizio that took care of everything like I was his best friend. 
The ambient is like being in a museum,  worth eating here just for how much sculptures and painting are inside.
Absolutely reccomend this restaurant.
",2019-08-21,5.0
