,author,stars,date,text
11,Santi T.,"Craving fresh sourdough bread? Come to Fog Harbor Fish House and try their signature bread!

We spent the whole day in San Francisco and decided to have a sit-down meal at the Fisherman's Wharf Pier 39 to enjoy the atmosphere and a fresh seafood dinner. Initially, we used the Yelp app to put our name on the wait list, however, you know San Francisco traffic can be very unpredictable and made us tardy for our assigned time. When we arrived, the hostess put us back on the list again but since we were starving, I asked about the bar seating. It was opening seating and first come first serve. Luckily, there were enough seats for our party, and we sat at the bar with the attentive service from both bartenders. 

As we sat down, we were served fresh sourdough rolls with butter on the side. We immediately devoured the rolls as they were warm, straight out the oven with a light sourness and chewy texture to it. This was worth sitting in SF traffic.

We ordered the award-winning clam chowder in the fresh house baked sourdough bread bowl ($12) as our appetizer. The bowl was generous and included the top of the bread which we used to sink into the soup. The hot soup was creamy and very comforting. For one person, that could be a meal itself. We all shared it and agreed it was the highlight of our meal.

For our entrée, we ordered the Mixed Grill ($31) with grille salmon, Pacific cod, and shrimp, citrus beurre blanc sauce, sautéed vegetables and garlic mashed potatoes. The four shrimps were on a skewer and we used the beurre blanc sauce to dip each one. The two cuts of fish were moist and flavorful. The garlicky green beans were outstanding! We also ordered the Fish and Chips (too bready) and the Grilled Salmon with steamed broccoli. The servings for all the dishes were appropriate for the price and service was well maintained at the bar. 

We opted out for dessert elsewhere and were definitely full from our meal with the highlight being the sourdough bread and soup.

If you don't mind sitting side by side, I'd highly recommend putting your name on the waiting list but keep an eye out for the bar seating as they serve the exact same menu and it could be a quicker option.

They validate for one hour at the parking lot so bring your ticket.

Overall, Fog House Fish House was an excellent choice to fulfill our seafood craving in San Francisco.
",2019-09-04,4.0
12,Arnel S.,"You get what you pay for...and this place proves the wisdom of that adage.  From start to finish...this is a place I can proudly recommend others to try.  Of course, the place gets quite crowded, especially during holidays and weekends, so it's best to make reservations.  Really worth it to phone ahead.

The food was great!  Everything came well-cooked and well-flavoured.  It should be the same with other upscale seafood restaurants.  But what sets this place above the others is the speed and the quality of the service!  Our server (sorry I did not get her name) worked wonders.  Her recommendations were sound, her appeal was above-board, her speed was unbelievable, and her humour made the experience memorable!

My family and I came here during the Labour Day weekend, for a short San Francisco break to see the sights and sounds of the Bay.  And now, this restaurant has become a landmark for me and my family.  Highly recommended!
",2019-09-11,5.0
13,Michelle R.,"After riding the bay cruise ferry we headed straight to Fog Harbor for some lunch. This restaurant is a tad pricier than the other one we tried at the pier. We came here around 11ish. The wait was only about 10 mins and the restaurant was not that packed yet. 

For appetizer we decided to order the following dishes:

Blue cheese garlic bread  - This dish had fresh sourdough topped with blues cheese, herbs and garlic. I'm not a fan of blue cheese and this tasted ok. I ended up scraping all the blue cheese off the bread and it tasted better. 

Crispy Calamari - This dish has fried jalapeños and onions served with lemon aioli. This was yummy! 

Dungeness crab ceviche - This had coconut milk, jalapeño, cilantro, mango, fresh lime, tomato and toasted coconut with tortilla chips. This one tasted ok. The mixture of the crab and mango had a alright taste. This was only serviced with about 3-4 pieces of tortilla chips. 

For the main dish, I ended up ordering the Linguini & Clams. At $22, this dish had fresh clams, olive oil, tomatoes, garlic, white wine and butter topped with parmesan cheese. This dish serving is only good for one person. There is a ok amount of pasta in the dish and clams. I think that other restaurant gives you more. The bread that was in the dish was crunchy and hard and was quite spicy for my liking but over all the dish was good. 

Other dishes that we ordered are the pan-seared chicken breast. This had sautéed spinach, pearl onions, mushroom herb sauce and garlic mashed potatoes. We also ordered a bowl of their award winning clam chowder too. 

Overall, we all enjoyed the food we got and service was good.
",2019-09-08,4.0
14,Morlene C.,"Sure it's touristy, but on a nice day the views are pretty and the seafood is very fresh. My group was seated at a corner table by a huge window which offered us views of docked boats and the Golden Gate Bridge.

Their menu is quite extensive and hard to choose from. The mixed grill might be a good option for someone who is indecisive because it includes multiple types of seafood. I ordered the halibut special off the seasonal specials menu. It was a hefty portion of halibut and while it was fresh it was somewhat plain. I would've loved to douse it in some kind of chili oil, but I don't think they mess with that over here. I would've settled for sriracha, but I don't think they have that either. 

I did really enjoy a cup of their clam chowder, which they tout all over the menu and website that it's award winning. You know what though, it does taste award-winning, as there was plenty of clam meat in each bite. They really tried to upsell me on adding crab to the clam chowder, but I didn't bite.

Our server was attentive and helpful with helping us pick from their monstrous menu. Seems like a nice enough place to take visitors.
",2019-08-21,4.0
15,Jessica J.,"People aren't lying then they say seafood in San Fran is a must! I'm a big fish lover so I was eager to have some delicious dishes while in town for a few days.

My colleagues and I had a 5pm rez at Fog Harbor. A beautiful time of night to be on the pier and to be sat near the windows overlooking the water from inside the restaurant. We were placed at a big round table, and were quiet immediately greeted by our friendly server. 

Everyone put their drink orders in (a hard blackberry press for me!) before looking over the food menu. It genuinely took all of us so long to decide what we wanted to order because the menu is jam packed with options (both land and sea). I went for a cup of clam chowder as a start because it just felt right LOL. For my main: Ahi Tuna. Oh my goodness was I happy with my . It was seared ""rare"", and sesame seed crusted, with ginger soy glaze, wasabi aioli, stir fried vegetables and garlic jasmine rice... #YUM

No one else at the table had a single complaint and I'd say we all left pleasantly satisfied  

Don't worry Lobster Tails, l'll be back for you!
",2019-08-21,5.0
16,Piyush C.,"This is a popular Pier 39 location for seafood and I had to give it a try. I went in here for a date and the location is what the fuss is all about. It's overlooking the Golden Gate Bridge and the California sea lions resting on the SF shoreline. You can watch the boats come and go at the dock for hours. I found it fascinating to sit by the window and recall fond memories.

They have a lot of choices for the menu but we decided to try Clam chowder soup and Assorted fish (Cioppino) clam, scallop, mussels and crab servings. First they brought the clam chowder and our server was a little slow to take our order, but place was very busy during Labor Day weekend. So I will give them that. A better server came to serve the main course.

Quality of soup was very good in my opinion but my date said they have tried better soup. I found the grilled fish to be fresh and the sauce on the salty side but they had a good variety of seafood and everything tasted great. We found that there was no clam meat in the broth/ sauce as promised. As for the price I don't think that it's worth paying so much money for medium sized portions. I think they are mainly charging for the service, cleanliness and location. But if your budget allows it please order more than two main entrees (for a couple) if you are really hungry.

I have to say that it's a very romantic spot and they have polite servers. Overall I was satisfied and I would like to try grilled fish next time.
",2019-09-02,4.0
17,Rob H.,"A big tourist place, but the service was amazing.  They were very busy and our server immediately showed up and brought us drinks.  She was very attentive and pleasant.  Clam chowder was good and I enjoyed it as an appetizer.  We ordered the Seafood Platter for 2 and was not disappointed.  It was full of mussels, clams, crab legs, potatoes, shrimp, and topped off with a lobster tail.  It was loaded with butter and fresh garlic.  My only complaint was there was a bit too much butter on the platter.  By the time you got to the bottom of the seafood and potatoes, there seemed to be a lot of butter left.
We sat by the window and enjoyed the view of Alcatraz, the Golden Gate Bridge, Sea Lions, and several boats in the harbor.  Would visit again.
",2019-08-21,4.0
18,Denise L.,"The view and service, fantastic! The food, it was just okay?

Sourdough rolls are warm and baked fresh in house, yum. Clam chowder...award winning? I have definitely had way better, even Boudin's is tastier. 

My lobster roll was bland bland bland. Had to douse it in tabasco, and the roll was too bready. The fries were good, but your typical frozen fries.

All the entrees - everything was underwhelming. Seemed to be missing a lot of seasoning hence flavor.

Again, for the view and service, everything was great on that end! Reservations can be made via Yelp!
",2019-08-12,3.0
19,Nick H.,"Shell fish platter with crab legs, lobster and garlic noodle!

Great plate of mixed seafood. Everythjng was fresh. The crab legs were good and the shrimp was spot on. If I could do it over, I would opt out for the garlic noodles or have them om the side. The garlic noodles were AOK but not great.

Shellfish Platter Overall 4 Stars
Garlic Noodle- 3 Stars
Lobster-4 Stars

The view was outstanding. You get a great view of Alcatraz and the Golden Gate Bridge. You can sit back with a nice plate of food in a comfortable place with a great view..which makes me a fan of this place. They also have a full bar.

Parking sucks. However, if you park in the structure across the street, they validate for an hour. Set aside at least two hours for walking around and eating.

Overall, I am a fan.
",2019-08-06,4.0
20,Monique H.,"I made reservations for dinner at Fog Harbor and they totally hooked us up with a table with a view, it was beautiful. 

To start, the sourdough was fresh and extra sour.  The same dough is used for the clam chowder bread bowls which is as good as everyone says.  It would have been just as delicious with out the crab meat on top but I added it because I love seafood. 


For the main course I ordered the Surf & Turf.  I was disappointed with the quality of the steak, it was not as tender as what I was expecting.  The lobster was fresh and cooked to perfection.  The mashed potatoes were undercooked.  Everything else from the cocktails to the service was on point and as a whole, it was quality dinning.
",2019-09-14,4.0
21,Claudia B.,"Great food 
Good service 

Clam chowder in bread - yummy!!!!
Crab ceviche -  so tasty

Mixed grill - fresh and delicious 

We put our name on the waiting list, shaved off 30 minutes by the time we arrived.
",2019-08-18,4.0
22,Lizel M.,"Service was good we came here to have some wine and fresh oysters. 

I love the oysters they were very fresh. I did expect the chowder to be really good but it was ok for me.
",2019-07-25,4.0
23,Joey J.,"Excellent food and service! My waitress was super friendly. My coworkers and i had a really bad day and the waitress definitely cheered us up with her awesome attitude and smile. 
Very pleased with the clam chowder, better than the popular Boudin chowder down the street. 
I love how they serve fresh in house bread. 
Highly recommend the seafood penne and chioppon dish. 

Great location too, right at pier 39 at the Fisherman's Wharf. You can plan a day there and finish off with dinner here. Great view of the water too.
",2019-08-12,5.0
24,Monica B.,"On a recent business trip, I was looking for a place for seafood. I chose this place because of the reviews and I thought that the three other people I was dining with would enjoy it. Some of my friends made fun of me on Instagram for choosing a ""touristy"" place at Pier 39. Oh, well. The first meal we had when we arrived in the Bay Area was here and it was awesome! 

I'm a picky scallop eater so much so that I typically don't order it when I eat out. I'm often disappointed and think it's tragic to harm scallops by over- or under-cooking it. After reviewing the seasonal crab menu, I jumped it and ordered the seared scallop and crab risotto. It was prepared with tomatoes, parmesan cheese, cilantro pesto, and beurre blanc. The scallops were perfectly seared and cooked inside. I couldn't have asked for a better preparation! The surprise was that the crab risotto was also cooked perfectly! The texture and sweet, mild flavor of the crab with the rice...I'm in love!!!

My meal was perfect! It was a rather warm day and I paired it with ginger lemonade. This was no joke. There was actual ginger in the drink and it was fantastic! 

Overall, I loved this place and I'm so happy I went. Everyone in my group was happy with their food and it was a great way to kick off the trip!
",2019-07-18,5.0
25,Jen M.,"I joined the wait list on Yelp (30-45 min), but after a few minutes, the bartender (Tony) noticed I was alone and told me there was someone about to leave the bar area and I could snatch that seat (so nice of him!).
The clam chowder wasn't great, but not bad at all! I absolutely loved the sour dough bread roll that came with it.
",2019-07-20,5.0
26,Sunny K.,"Fog Harbor Fish house is in a touristy spot, but the food is to die for! I've lived in SF for 16 years, and I was so disappointed that it was my first time visiting this place on 9/7/19. The service was great and the seafood was very fresh. Some may consider the place a bit pricey, but I thought the prices were reasonable, especially given the freshness of their seafood. Generous portions of seafood. We ordered the following: scallop risotto, seafood pasta, calm linguine, shellfish tower (appetizer), calm chowder, and the shellfish platter (entree) for two with garlic noodles. We were a party of 7. Everyone left the place stuffed! I will definitely go back soon!
",2019-09-13,5.0
27,Megan X.,"Love the blood orange margaritas! Chowder was phenomenal and so was the service. Would definitely return
",2019-09-08,4.0
28,Nicole J.,"For my final night in San Francisco I wanted to treat myself to a nice day. The recommendation of some colleagues who had dined a couple nights before so I decided to try it out.

Located on the upper level of Pier 39. There is a welcoming waiting area with the fireplace. The back wall of the restaurant has large windows so that you can see the beautiful View of the water and maybe even a sunset depending on what time you go.

I was eating alone so I was quickly offered a seat at the bar or a wait for a table was 20 to 30 and I went on a Friday evening about 7 PM. The restaurant was full so you might want reservations for a group.

I was quickly greeted by the bartender and ordered a glass of wine and ended up getting the seared Pacific cod with chorizo and white bean. Definitely also get the bread it is super yummy.
",2019-09-07,4.0
29,Chris Z.,"My girlfriend and I flew into SFO and decided to check out fisherman's wharf after dropping off our stuff at the hotel. We wanted something not super fancy but a proper sit down restaurant, and we found this place with a super high rating. We got our reservation through yelp, and checked in to the restaurant on time. We were seated quickly. The restaurant was HUGE! There were just so many seats. 

We thought the ambiance was quite casual. There were large sheets of paper covering the table, like fast food restaurants. We got the calamari, the spaghetti, and the bread bowl clam chowder. 

The calamari came out first and it was huge. It tasted just alright; it wasn't as crispy as we had hoped. The clam chowder was pretty good with crab meat. The spaghetti was a bit tasteless and wasn't all that special. 

Then, as we asked to have our food packed up and got the bill, the waitress took our plate of calamari and a few pieces fell on the table. She picked them up with her hands, put them back on the plate, and says that it happens a lot. We were both shocked at how unsanitary that was, but were too in shock to say anything. We ended up throwing it away when we got home. The three dishes + tax + tip cost us more than $60, which was quite shocking too. We will probably not be returning and will instead be dining across the street at in n out.
",2019-07-14,3.0
30,Greg S.,"If your into seafood, this place is for you. All sorts of great choices. A little more on the pay scale, but it seemed worth it. I had the Fog Harbor burger, cooked perfect. Caramelized onions, cheddar, an onion ring on top, 1000 Island Dressing, it was very good. A side of fries, and a great meal was had....
",2019-09-09,4.0
31,Adriana A.,"Wait time was one hour and a half, we were able to find a spot at the bar with full service. Service was excellent and food was absolutely delicious. We had crab legs and clam chowder with added crab on top. We also shared the ceviche, and lobster roll with side salad. We had the house cab and a margarita. Loved everything about Fog Harbor restaurant and feel beyond excited that we were able to find seating at the bar.
",2019-09-01,5.0
32,Jim S.,"A good somewhat expensive place to get Dungeness Crab and Clam Chowder.  When a restaurant relies heavily on tourists the food and/or service is typically sub par but that wasn't necessarily the case here.  Our waiter, Justin, was excellent, the restaurant decor and setting is very nice and the food was prepared right and pretty good.  We had a table overlooking the water and it was a beautiful night.  The sour dough bread, Crab and clam chowder were excellent.   The clam chowder was the best I've ever had and is reason enough to go here.  However, outside of the those three items the menu and food was pretty much average (not bad just nothing special).  Dinner wasn't cheap but no more than expected for a place on the pier in SF. Overall I would recommend this place for a nice dinner out (perhaps while on vacation) but don't expect a ton of menu options.
",2019-09-26,4.0
33,Patrick Y.,"Fog Harbor Fish House is the perfect date spot for those willing to pay a little more for seafood. This place has everything you would want or like for seafood, from raw oysters, seafood pasta, or even whole roasted Dungeness crab. The most famous item that I see everyone or what is on yelp is the seafood platter mix.

In addition to the delicious food here, this place is right next to the waterfront. With a delicious meal and view, there is not much more you can ask for. Waiters and servers are very well mannered and nice too. I would come back anytime for lunch. Have not yet come for dinner, but this is a place I am willing to come for a dinner date.
",2019-09-30,4.0
34,Mai N.,"The clam chowder was savory and delicious. I wished they had them in cans! 

The garlic crab was just okay. The crab was over cooked and had too much butter for me. It's been hours later and I'm still choking from the butter in my throat.
",2019-07-01,4.0
35,Yaeko M.,"It's a very popular restaurant in the fisherman's Wharf. 
I suggest to make a reservation if you come to have dinner here.
I went with group of 4 and shared the dishes. 
We had signature CLAM CHOWDER $7.5 cup, Crispy Calamari $16 , Salmon Salad $24, Pacific Sole $24, Cioppino$35.
All dishes are fresh and tasted very good. I love the clam shower and the grilled salmon salad.
I hoped to order more and taste more but we got so full. We couldn't try dessert.
I would love to come back and try different dishes. 

Ambiance: great
Food: great
Service: good
Price: reasonable
",2019-09-05,4.0
36,Tanusree M.,"This place was pretty good, but pricey (as expected for a restaurant on the pier). We ordered a few things - oysters, mussels with fries, scallops risotto. The oysters were fresh and delicious. The mussels were nice and tasty, the broth tasted delicious with the fries. The risotto left something to be desired. They only gave 4 scallops, I feel as though it should've at least come with 6. I felt like they could've given a bit more for an expensive dish. The risotto was okay, nothing special. 
Overall, the service was great and the food was okay.
",2019-06-18,4.0
37,Jennifer G.,"THE BEST CLAM CHOWDER HANDS DOWN. So good, had it on day 1 of my trip and had to come back before leaving the city for one more bowl! Decent wait times, take advantage of the yelp virtual wait-list! This restaurant is in the heart of the pier so you can do some sightseeing while your table is ready.  Food is top quality, super friendly servers who are on their A game on both of my visits. Menu has wide selection, plenty non- seafood options available if you don't like sea food. Extensive wine list. The views from every table are amazing. So nice to enjoy good food with a view. Restaurant is on the pricier side, but the food quality and ambiance are unbeatable in this area.
",2019-09-29,5.0
38,Jenn Y.,"The restaurant is in a perfect location. You must make a reservation to dine here! 

Customer service:
Arif, our server is absolutely amazing! 

Food:
Salmon club salad with lemon vinaigrette and lemon aoli is excellent!
Award winning clam chowder-the best I've had in SF!
Sour dough bread- goooooooddddd
Mixed grill-pretty good even as leftover. 

I highly recommend this restaurant for some good seafood in the bay. Hands down.
",2019-07-04,5.0
39,Britt M.,"The HYPE is real. This place is magical. For one, it takes reservations which is key when traveling. I definitely suggest making a reservation as we went on a Tuesday night and it was packed. The food is excellent. My family had the clam chowder soup, mixed seafood dish, the fish and chips, and the crab cakes. All were delicious! The crab cakes are pretty spicy so if you're not into spice I would steer away from them. The view from the restaurant is also stunning. If you are able to get a spot against the window on the pier side the view is gorgeous. Also, be sure to go see the sea lions at the end of the pier before going to eat. They are Uber entertaining.
",2019-09-04,5.0
40,Jodeye H.,"We made a reservation via Yelp, and unfortunately our flight was delayed. We called to let the hostess know and she said she would just put a note. To our surprise, upon arrival, we were seated immediately with a great view! Server was prompt. We had the calamari as a starter -
So amazing! We then shared the clam chowder bowl, added crab. Not sure if the ""add crab"" takes away from how much they put in your bread bowl, but there could have been a little more chowder. Dirty Martinis were a great ending to our meal. Hubby & I were satisfied.
",2019-09-08,5.0
41,Dare A.,"Great food, great service, great views of the bay! Must try the Mussel fries - the sauce was amazing.
",2019-10-01,5.0
42,Roxie H.,"Located on Pier 39, it's a very busy restaurant that mostly attracts tourists. Reservations are recommended especially on weekends. However, the bar is almost always open and is open seating. 

Almost all of the tables have an amazing view of the bay, Alcatraz, and Golden Gate. I would give the restaurant itself five stars. 

The menu has an abundance of fresh seafood options, a rotating 'seasonal' menu, and some pastas along with their 'Award winning clam chowder.' 

The food itself is a 3.5. The sourdough rolls served prior to our meal were stale and difficult to eat. A table adjacent to us actually sent theirs back. The clam appetizer 'steamed with chorizo and corn' was interesting but not amazing. Half dozen oysters were fresh and cleaned nicely, which raised the score a bit, and the fried rock shrimp 'special' with asparagus was only ok. 

I would recommend drinks to accompany the view. Maybe something from their raw seafood section which they seem to do spot on.
",2019-06-13,3.0
43,Doug S.,"Stopped by for a pre-anniversary dinner on our last night in SanFran.  Stopped by around 3 and it was still busy.  We waited about 5 min for a seating at the window.   Windows are hot with sun, so take that into consideration (they will lower shade).   
Ordered a special app of fried shrimp and asparagus.  It was crunchy and delicious.  Like a lite tempora batter.  I had the panko halibut and my wife had the  cioppino.   My fish was perfectly done but the coating got soggy quickly.  I don't know how they would fix it.   The side dish was cold salad like mix.   It was supposed to be that way but it surprised me.  I enjoyed it as well. Nicely contrasting tastes from light fish.  My wife ate every bite of the cioppino, except one.   It was spicy and saucy.   It will have you licking your fingers and dipping bread.    Would recommend for dinner and or a special occasion.   
Only drawback of the whole experience is the closeness of the tables.   Barely enough room for the wait staff.
",2019-08-23,5.0
